Gene_A,Gene_B
HDAC2,MXD1
HDAC2,HIST1H4C
HDAC2,SKIL
HDAC2,HIST2H3C
HDAC2,MBD3L2
HDAC2,HIST4H4
HDAC2,SAP18
HDAC2,CHD3
HDAC2,CHD4
HDAC2,NCOR1
HDAC2,NFKB1
HDAC2,SIN3B
HDAC2,SIN3A
HDAC2,HIST2H4A
HDAC2,SAP30
CREBBP,HDAC2
HDAC2,HIST2H2AC
HDAC2,HIST2H2BE
HDAC2,UBE3A
HDAC2,FDXR
HDAC2,CDKN1A
HDAC2,HIST2H3D
HDAC2,CSF2
HDAC2,RBBP7
HDAC2,RBBP4
HDAC2,GLI1
HDAC2,YY1
HDAC2,GATAD2B
HDAC2,GATAD2A
TERT,HDAC2
HDAC2,NR3C1
HDAC2,FKBP3
HDAC2,GATA1
HDAC2,HIST2H4B
HDAC2,SUFU
HDAC2,DKK1
HDAC2,MBD3
HDAC2,MBD2
HDAC2,TCF7L2
HDAC2,SKI
HDAC2,GLI3
HDAC2,MTA2
HDAC2,ZFPM1
HDAC2,MDM2
EP300,HDAC2
HDAC2,ZNFX1
HDAC2,TGIF1
HDAC5,HIST1H4F
HDAC5,HIST1H4E
HDAC5,HIST1H4D
HDAC5,HIST1H4K
HDAC5,HIST1H4J
HDAC5,HIST1H4I
HDAC5,HIST1H4A
HDAC5,HIST1H4L
HDAC5,HIST1H4H
HDAC5,HIST2H3A
HDAC5,HIST1H4C
HDAC5,HIST2H3C
HDAC5,HIST4H4
HDAC5,HIST2H4A
HDAC5,HIST2H2AC
HDAC5,HIST2H2BE
HDAC5,BCOR
HDAC5,HIST2H3D
HDAC5,GNB1
HDAC5,YWHAB
HDAC5,YWHAE
HDAC5,BCL6
HDAC5,GATA2
HDAC5,GATA1
HDAC5,RFXANK
HDAC5,ANKRA2
HDAC5,HIST2H4B
HDAC5,GNG2
HDAC4,HIST1H4F
HDAC4,HIST1H4E
HDAC4,HIST1H4D
HDAC4,HIST1H4K
HDAC4,HIST1H4J
HDAC4,HIST1H4I
HDAC4,HIST1H4A
HDAC4,HIST1H4L
HDAC4,CAMK4
HDAC4,HIST1H4H
HDAC4,XPO1
HDAC4,HIST2H3A
HDAC4,MEF2C
HDAC4,MEF2D
HDAC4,HIST1H4C
HDAC4,NUP62
HDAC4,HIST2H3C
HDAC4,SRF
HDAC4,HIST4H4
HDAC4,NCOR2
HDAC4,SUMO1
HDAC4,CAMK2A
HDAC4,NUP214
HDAC4,NUP210
HDAC4,HIST2H4A
HDAC4,HIST2H2AC
HDAC4,UBE2I
HDAC4,HIST2H2BE
HDAC4,RANGAP1
HDAC4,NUP153
HDAC4,HIST2H3D
HDAC4,RANBP2
HDAC4,YWHAB
HDAC4,YWHAE
HDAC4,ESR1
SIRT1,HDAC4
HDAC4,GATA1
HDAC4,RFXANK
HDAC4,ANKRA2
HDAC4,HIST2H4B
HDAC4,RAN
HDAC7,HIST1H4F
HDAC7,HIST1H4E
HDAC7,HIST1H4D
HDAC7,HIST1H4K
HDAC7,HIST1H4J
HDAC7,HIST1H4I
HDAC7,HIST1H4A
HDAC7,HIST1H4L
HDAC7,HIST1H4H
HDAC7,HIST1H4C
HDAC7,HIF1A
HDAC7,HIST2H2BE
HDAC7,HIST2H4B
HDAC7,HIST2H4A
HDAC7,HIST4H4
HDAC7,KLK3
HDAC7,HIST2H3D
HDAC7,HIST2H3C
HDAC7,HIST2H3A
HDAC7,EP300
HDAC7,HIST2H2AC
HDAC7,SLC2A1
HDAC7,AR
HDAC7,VEGFA
HDAC7,CREBBP
HDAC6,HIST1H4F
HDAC6,HIST1H4E
HDAC6,HIST1H4D
HDAC6,HIST1H4K
HDAC6,HIST1H4J
HDAC6,HIST1H4I
HDAC6,HIST1H4A
HDAC6,HIST1H4L
HDAC6,HIST1H4H
HDAC6,TUBB2A
HDAC6,HIST1H4C
HDAC6,HIST2H2BE
HDAC6,HIST2H4B
HDAC6,HIST2H4A
HDAC6,HIST4H4
HDAC6,TUBA1B
HDAC6,NR3C1
HDAC6,HIST2H3D
HDAC6,HIST2H3C
HDAC6,HIST2H3A
HDAC6,HIST2H2AC
HDAC6,HDAC11
HDAC6,HSP90AA1
HDAC9,HIST1H4F
HDAC9,HIST1H4E
HDAC9,HIST1H4D
HDAC9,HIST1H4K
HDAC9,HIST1H4J
HDAC9,HIST1H4I
HDAC9,HIST1H4A
HDAC9,HIST1H4L
HDAC9,HIST1H4H
HDAC9,HIST1H4C
HDAC9,HIST4H4
HDAC9,HIST2H3A
HDAC9,HIST2H3D
HDAC9,HIST2H3C
HDAC9,HIST2H2BE
HDAC9,HIST2H4B
HDAC9,HIST2H2AC
HDAC9,HIST2H4A
HDAC8,HIST1H4F
HDAC8,HIST1H4E
HDAC8,HIST1H4D
HDAC8,HIST1H4K
HDAC8,HIST1H4J
HDAC8,HIST1H4I
HDAC8,HIST1H4A
HDAC8,HIST1H4L
HDAC8,HIST1H4H
HDAC8,HIST1H4C
HDAC8,HIST4H4
HDAC8,SMG5
HDAC8,HIST2H3A
HDAC8,HIST2H3D
HDAC8,HIST2H3C
HDAC8,HIST2H2BE
HDAC8,PRKACA
HDAC8,HIST2H4B
HDAC8,HIST2H2AC
HDAC8,HIST2H4A
HIST2H3A,HIST1H4F
HIST2H3A,HIST1H4E
HIST2H3A,HIST1H4D
HIST2H3A,HIST1H4K
HIST2H3A,HIST1H4J
HIST2H3A,HIST1H4I
HIST2H3A,HIST1H4A
HIST2H3A,HIST1H4L
HIST2H3A,HIST1H4H
HIST2H3A,HIST2H2BE
HIST2H3A,HIST2H4B
HIST2H3A,HIST4H4
HIST2H3A,HIST2H4A
HIST2H3A,HIST2H2AC
HIST2H3A,HIST1H4C
HIST2H3A,HDAC11
HIST2H3A,HDAC10
SIRT1,HIST1H4F
SIRT1,HIST1H4E
SIRT1,HIST1H4D
SIRT1,HIST1H4K
SIRT1,HIST1H4J
SIRT1,HIST1H4I
SIRT1,HIST1H4A
SIRT1,HIST1H4L
SIRT1,HIST1H4H
SIRT1,MEF2D
SIRT1,HIST1H4C
SIRT1,TRIM28
SIRT1,KAT2B
SIRT1,PPARGC1A
SIRT1,FOXO3
SIRT1,FOXO1
SIRT1,FOXO4
SIRT1,HIST4H4
SIRT1,HIST1H1E
SIRT1,BCL2L11
SIRT1,PTGDR
SIRT1,H3F3B
SIRT1,H3F3A
SIRT1,NCOA2
SIRT1,BAX
SIRT1,HIST2H4A
SIRT1,MYOD1
EPAS1,SIRT1
SIRT1,TP53
SIRT1,ACSS2
EPO,SIRT1
SIRT1,SOD2
SIRT1,FASLG
SIRT1,TFDP2
SIRT1,CDKN1B
SIRT1,CDKN1A
SIRT1,TP73
SIRT1,E2F1
SIRT1,RB1
SIRT1,FHL2
SIRT1,HIST2H4B
SIRT1,GADD45A
SIRT1,PML
SIRT1,XRCC6
SIRT1,AR
EP300,SIRT1
SIRT1,TFDP1
HIST2H3D,HIST1H4F
HIST2H3D,HIST1H4E
HIST2H3D,HIST1H4D
HIST2H3D,HIST1H4K
HIST2H3D,HIST1H4J
HIST2H3D,HIST1H4I
HIST2H3D,HIST1H4A
HIST2H3D,HIST1H4L
HIST2H3D,HIST1H4H
HIST2H3D,HIST1H4C
HIST2H3D,HIST4H4
HIST2H3D,HIST2H4A
HIST2H3D,HDAC11
HIST2H3D,HIST2H2AC
HIST2H3D,HIST2H2BE
HIST2H3D,HIST2H4B
HIST2H3D,HDAC10
HIST2H3C,HIST1H4F
HIST2H3C,HIST1H4E
HIST2H3C,HIST1H4D
HIST2H3C,HIST1H4K
HIST2H3C,HIST1H4J
HIST2H3C,HIST1H4I
HIST2H3C,HIST1H4A
HIST2H3C,HIST1H4L
HIST2H3C,HIST1H4H
HIST2H3C,HIST1H4C
HIST2H3C,HIST2H2BE
HIST2H3C,HIST2H4B
HIST2H3C,HIST4H4
HIST2H3C,HIST2H4A
HIST2H3C,HIST2H2AC
HIST2H3C,HDAC11
HIST2H3C,HDAC10
HIST2H2BE,HIST1H4F
HIST2H2BE,HIST1H4E
HIST2H2BE,HIST1H4D
HIST2H2BE,HIST1H4K
HIST2H2BE,HIST1H4J
HIST2H2BE,HIST1H4I
HIST2H2BE,HIST1H4A
HIST2H2BE,HIST1H4L
HIST2H2BE,HIST1H4H
HIST2H2BE,HIST1H4C
HIST2H2BE,HIST4H4
HIST2H2BE,HIST2H4A
HIST2H2BE,HDAC11
HIST2H2BE,HIST2H2AC
HIST2H2BE,HIST2H4B
HIST2H2BE,HDAC10
HDAC11,HIST1H4F
HDAC11,HIST1H4E
HDAC11,HIST1H4D
HDAC11,HIST1H4K
HDAC11,HIST1H4J
HDAC11,HIST1H4I
HDAC11,HIST1H4A
HDAC11,HIST1H4L
HDAC11,HIST1H4H
HDAC11,HIST1H4C
HDAC11,HIST4H4
HDAC11,HIST2H4A
HDAC11,HIST2H4B
HDAC11,HIST2H2AC
HDAC10,HIST1H4F
HDAC10,HIST1H4E
HDAC10,HIST1H4D
HDAC10,HIST1H4K
HDAC10,HIST1H4J
HDAC10,HIST1H4I
HDAC10,HIST1H4A
HDAC10,HIST1H4L
HDAC10,HIST1H4H
HDAC10,HIST1H4C
HDAC10,HIST4H4
HDAC10,HIST2H4A
HDAC10,HIST2H2AC
HDAC10,HIST2H4B
HIST2H2AC,HIST1H4F
HIST2H2AC,HIST1H4E
HIST2H2AC,HIST1H4D
HIST2H2AC,HIST1H4K
HIST2H2AC,HIST1H4J
HIST2H2AC,HIST1H4I
HIST2H2AC,HIST1H4A
HIST2H2AC,HIST1H4L
HIST2H2AC,HIST1H4H
HIST2H2AC,HIST1H4C
HIST2H2AC,HIST4H4
HIST2H2AC,HIST2H4A
HIST2H2AC,HIST2H4B
ELANE,CEBPB
ELANE,CEBPA
ELANE,SPI1
ELANE,CEBPD
ELANE,PLAUR
ELANE,MYB
CEBPB,TTR
SMAD4,CEBPB
SMAD2,CEBPB
SMAD3,CEBPB
CEBPB,SMARCA2
FOXO3,CEBPB
FOXO1,CEBPB
FOXO4,CEBPB
CEBPB,MAPK14
CEBPB,MAPK11
CEBPB,IGHG1
CEBPB,HSP90B1
CEBPB,G6PC
CEBPB,MAP3K11
CEBPB,SFTPD
CEBPB,CDKN2B
CEBPB,PTGES2
CREBBP,CEBPB
CEBPB,PRTN3
CEBPB,MAPK3
CEBPB,MAPK1
CEBPB,SERPINA1
CEBPB,LECT2
CEBPB,JUN
ESR1,CEBPB
CEBPB,MYB
CEBPB,DAPK1
CEBPB,TOM1
CEBPB,IGHE
CEBPB,LBP
CEBPB,IRF9
